Time (sec),S:Load (lbs),S:Position (in),Ch:Position (mm),Ch:Load (lbs),Ch:Stress (kPa),Ch:Strain (lbs),Cycles (),Time_P&V (),S:Load_P&V (),S:Position_P&V (),Ch:Position_P&V (),Ch:Load_P&V (),Ch:Stress_P&V (),Ch:Strain_P&V (),Cycles_P&V ()
1.94,0.979523,0.001208,0.030678,0.979523,221.962997,0.006136,0,,,,,,,,
1.96,0.9679,0.001213,0.030808,0.9679,219.329239,0.006162,0,,,,,,,,
1.98,0.970305,0.001225,0.031121,0.970305,219.874146,0.006224,0,,,,,,,,
2,0.972709,0.001238,0.031433,0.972709,220.419067,0.006287,0,,,,,,,,
2.02,0.979923,0.001246,0.031641,0.979923,222.053833,0.006328,0,,,,,,,,
2.04,0.996356,0.001255,0.031876,0.996356,225.77742,0.006375,0,,,,,,,,
2.06,1.015193,0.001271,0.032293,1.015193,230.045929,0.006459,0,,,,,,,,
2.08,1.033629,0.001294,0.032865,1.033629,234.223633,0.006573,0,,,,,,,,
2.1,1.057275,0.001314,0.033386,1.057275,239.582001,0.006677,0,,,,,,,,
2.12,1.062486,0.001332,0.033829,1.062486,240.762665,0.006766,0,,,,,,,,
2.14,1.070902,0.001342,0.034089,1.070902,242.669846,0.006818,0,,,,,,,,
2.16,1.068097,0.001357,0.03448,1.068097,242.034134,0.006896,0,,,,,,,,
2.18,1.087735,0.001369,0.034767,1.087735,246.484268,0.006953,0,,,,,,,,
2.2,1.125008,0.001383,0.035131,1.125008,254.930496,0.007026,0,,,,,,,,
2.22,1.143444,0.001398,0.035522,1.143444,259.108185,0.007104,0,,,,,,,,
2.24,1.135829,0.001407,0.03573,1.135829,257.382629,0.007146,0,,,,,,,,
2.26,1.125409,0.001418,0.036017,1.125409,255.021317,0.007203,0,,,,,,,,
2.28,1.135429,0.001426,0.036225,1.135429,257.291809,0.007245,0,,,,,,,,
2.3,1.165488,0.001436,0.036485,1.165488,264.103271,0.007297,0,,,,,,,,
2.32,1.18192,0.00145,0.036824,1.18192,267.826874,0.007365,0,,,,,,,,
2.34,1.186729,0.001466,0.037241,1.186729,268.916718,0.007448,0,,,,,,,,
2.36,1.219594,0.001473,0.037423,1.219594,276.363922,0.007485,0,,,,,,,,
2.38,1.213181,0.001488,0.037787,1.213181,274.910797,0.007557,0,,,,,,,,
